tournament,year,team,matches_played,wins,goals_for,goals_conceded,stage
uefa euro,2000,England,3,1,5,6,Round of 16
uefa euro,2000,Germany,3,0,1,5,Round of 16
uefa euro,2000,Norway,3,1,1,1,Round of 16
uefa euro,2000,Slovenia,3,0,4,5,Round of 16
uefa euro,2000,Sweden,3,0,2,4,Round of 16
copa américa,2001,Colombia,6,6,11,0,Champion
copa américa,2001,Mexico,6,3,5,3,Runner-up
copa américa,2001,Honduras,6,3,7,5,Semi-Finalist
copa américa,2001,Uruguay,6,2,7,7,Semi-Finalist
copa américa,2001,Brazil,4,2,5,4,Quarter-Finalist
copa américa,2001,Chile,4,2,5,5,Quarter-Finalist
copa américa,2001,Costa Rica,4,2,7,3,Quarter-Finalist
copa américa,2001,Peru,4,1,4,8,Quarter-Finalist
copa américa,2001,Bolivia,3,0,0,7,Round of 16
copa américa,2001,Ecuador,3,1,5,5,Round of 16
copa américa,2001,Paraguay,3,0,4,6,Round of 16
copa américa,2001,Venezuela,3,0,0,7,Round of 16
african cup of nations,2002,Cameroon,6,5,9,0,Champion
african cup of nations,2002,Senegal,6,4,6,1,Runner-up
african cup of nations,2002,Mali,6,2,5,5,Semi-Finalist
african cup of nations,2002,Nigeria,6,4,5,2,Semi-Finalist
african cup of nations,2002,DR Congo,4,1,3,4,Quarter-Finalist
african cup of nations,2002,Egypt,4,2,3,3,Quarter-Finalist
african cup of nations,2002,Ghana,4,1,2,2,Quarter-Finalist
african cup of nations,2002,South Africa,4,1,3,3,Quarter-Finalist
african cup of nations,2002,Algeria,3,0,2,5,Round of 16
african cup of nations,2002,Burkina Faso,3,0,2,4,Round of 16
african cup of nations,2002,Ivory Coast,3,0,1,4,Round of 16
african cup of nations,2002,Liberia,3,0,3,4,Round of 16
african cup of nations,2002,Morocco,3,1,3,4,Round of 16
african cup of nations,2002,Togo,3,0,0,3,Round of 16
african cup of nations,2002,Tunisia,3,0,0,1,Round of 16
african cup of nations,2002,Zambia,3,0,1,3,Round of 16
fifa world cup,2002,Brazil,7,7,18,4,Champion
fifa world cup,2002,Germany,7,5,14,3,Runner-up
fifa world cup,2002,South Korea,7,3,8,6,Semi-Finalist
fifa world cup,2002,Turkey,7,4,10,6,Semi-Finalist
fifa world cup,2002,England,5,2,6,3,Quarter-Finalist
fifa world cup,2002,Senegal,5,2,7,6,Quarter-Finalist
fifa world cup,2002,Spain,5,3,10,5,Quarter-Finalist
fifa world cup,2002,United States,5,2,7,7,Quarter-Finalist
fifa world cup,2002,Belgium,4,1,6,7,Round of 16
fifa world cup,2002,Denmark,4,2,5,5,Round of 16
fifa world cup,2002,Italy,4,1,5,5,Round of 16
fifa world cup,2002,Japan,4,2,5,3,Round of 16
fifa world cup,2002,Mexico,4,2,4,4,Round of 16
fifa world cup,2002,Paraguay,4,1,6,7,Round of 16
fifa world cup,2002,Republic of Ireland,4,1,6,3,Round of 16
