tournament,year,team,group
fifa world cup,2002,Saudi Arabia,B
fifa world cup,2002,Argentina,C
fifa world cup,2002,England,C
fifa world cup,2002,Nigeria,C
fifa world cup,2002,Sweden,C
fifa world cup,2002,Paraguay,D
fifa world cup,2002,Slovenia,D
fifa world cup,2002,South Africa,D
fifa world cup,2002,Spain,D
fifa world cup,2002,Brazil,E
fifa world cup,2002,China PR,E
fifa world cup,2002,Costa Rica,E
fifa world cup,2002,Turkey,E
fifa world cup,2002,Croatia,F
fifa world cup,2002,Ecuador,F
fifa world cup,2002,Italy,F
fifa world cup,2002,Mexico,F
fifa world cup,2002,Belgium,G
fifa world cup,2002,Japan,G
fifa world cup,2002,Russia,G
fifa world cup,2002,Tunisia,G
fifa world cup,2002,Poland,H
fifa world cup,2002,Portugal,H
fifa world cup,2002,South Korea,H
fifa world cup,2002,United States,H
afc asian cup,2004,Bahrain,A
afc asian cup,2004,China PR,A
afc asian cup,2004,Indonesia,A
afc asian cup,2004,Qatar,A
afc asian cup,2004,Iraq,B
afc asian cup,2004,Saudi Arabia,B
afc asian cup,2004,Turkmenistan,B
afc asian cup,2004,Uzbekistan,B
afc asian cup,2004,Jordan,C
afc asian cup,2004,Kuwait,C
afc asian cup,2004,South Korea,C
afc asian cup,2004,United Arab Emirates,C
afc asian cup,2004,Iran,D
afc asian cup,2004,Japan,D
afc asian cup,2004,Oman,D
afc asian cup,2004,Thailand,D
african cup of nations,2004,DR Congo,A
african cup of nations,2004,Guinea,A
african cup of nations,2004,Rwanda,A
african cup of nations,2004,Tunisia,A
african cup of nations,2004,Algeria,B
african cup of nations,2004,Cameroon,B
african cup of nations,2004,Egypt,B
african cup of nations,2004,Zimbabwe,B
african cup of nations,2004,Burkina Faso,C
african cup of nations,2004,Kenya,C
african cup of nations,2004,Mali,C
african cup of nations,2004,Senegal,C
african cup of nations,2004,Benin,D
african cup of nations,2004,Morocco,D
african cup of nations,2004,Nigeria,D
african cup of nations,2004,South Africa,D
copa américa,2004,Bolivia,A
copa américa,2004,Colombia,A
copa américa,2004,Peru,A
copa américa,2004,Venezuela,A
copa américa,2004,Argentina,B
copa américa,2004,Ecuador,B
copa américa,2004,Mexico,B
copa américa,2004,Uruguay,B
copa américa,2004,Brazil,C
copa américa,2004,Chile,C
copa américa,2004,Costa Rica,C
copa américa,2004,Paraguay,C
uefa euro,2004,Greece,A
uefa euro,2004,Portugal,A
uefa euro,2004,Russia,A
uefa euro,2004,Spain,A
uefa euro,2004,Croatia,B
uefa euro,2004,England,B
uefa euro,2004,France,B
uefa euro,2004,Switzerland,B
uefa euro,2004,Bulgaria,C
uefa euro,2004,Denmark,C
uefa euro,2004,Italy,C
uefa euro,2004,Sweden,C
uefa euro,2004,Czech Republic,D
uefa euro,2004,Germany,D
uefa euro,2004,Latvia,D
uefa euro,2004,Netherlands,D
gold cup,2005,Colombia,A
gold cup,2005,Honduras,A
gold cup,2005,Panama,A
gold cup,2005,Trinidad and Tobago,A
gold cup,2005,Canada,B
gold cup,2005,Costa Rica,B
gold cup,2005,Cuba,B
gold cup,2005,United States,B
gold cup,2005,Guatemala,C
gold cup,2005,Jamaica,C
gold cup,2005,Mexico,C
gold cup,2005,South Africa,C
african cup of nations,2006,Egypt,A
african cup of nations,2006,Ivory Coast,A
african cup of nations,2006,Libya,A
african cup of nations,2006,Morocco,A
african cup of nations,2006,Angola,B
african cup of nations,2006,Cameroon,B
african cup of nations,2006,DR Congo,B
african cup of nations,2006,Togo,B
african cup of nations,2006,Guinea,C
african cup of nations,2006,South Africa,C
african cup of nations,2006,Tunisia,C
african cup of nations,2006,Zambia,C
african cup of nations,2006,Ghana,D
african cup of nations,2006,Nigeria,D
african cup of nations,2006,Senegal,D
african cup of nations,2006,Zimbabwe,D
fifa world cup,2006,Costa Rica,A
fifa world cup,2006,Ecuador,A
fifa world cup,2006,Germany,A
fifa world cup,2006,Poland,A
fifa world cup,2006,Argentina,B
fifa world cup,2006,Ivory Coast,B
fifa world cup,2006,Netherlands,B
fifa world cup,2006,Serbia,B
fifa world cup,2006,England,C
fifa world cup,2006,Paraguay,C
fifa world cup,2006,Sweden,C
fifa world cup,2006,Trinidad and Tobago,C
fifa world cup,2006,Angola,D
fifa world cup,2006,Iran,D
fifa world cup,2006,Mexico,D
fifa world cup,2006,Portugal,D
fifa world cup,2006,Australia,E
fifa world cup,2006,Brazil,E
fifa world cup,2006,Croatia,E
fifa world cup,2006,Japan,E
fifa world cup,2006,Czech Republic,F
fifa world cup,2006,Ghana,F
fifa world cup,2006,Italy,F
fifa world cup,2006,United States,F
fifa world cup,2006,France,G
fifa world cup,2006,South Korea,G
fifa world cup,2006,Switzerland,G
fifa world cup,2006,Togo,G
fifa world cup,2006,Saudi Arabia,H
fifa world cup,2006,Spain,H
fifa world cup,2006,Tunisia,H
fifa world cup,2006,Ukraine,H
afc asian cup,2007,Australia,A
afc asian cup,2007,Iraq,A
afc asian cup,2007,Oman,A
afc asian cup,2007,Thailand,A
afc asian cup,2007,Japan,B
afc asian cup,2007,Qatar,B
afc asian cup,2007,United Arab Emirates,B
afc asian cup,2007,Vietnam,B
afc asian cup,2007,Bahrain,C
afc asian cup,2007,Indonesia,C
afc asian cup,2007,Saudi Arabia,C
afc asian cup,2007,South Korea,C
afc asian cup,2007,China PR,D
afc asian cup,2007,Iran,D
afc asian cup,2007,Malaysia,D
afc asian cup,2007,Uzbekistan,D
copa américa,2007,Bolivia,A
copa américa,2007,Peru,A
copa américa,2007,Uruguay,A
copa américa,2007,Venezuela,A
copa américa,2007,Brazil,B
copa américa,2007,Chile,B
copa américa,2007,Ecuador,B
copa américa,2007,Mexico,B
copa américa,2007,Argentina,C
copa américa,2007,Colombia,C
copa américa,2007,Paraguay,C
copa américa,2007,United States,C
gold cup,2007,Canada,A
gold cup,2007,Costa Rica,A
gold cup,2007,Guadeloupe,A
gold cup,2007,Haiti,A
gold cup,2007,El Salvador,B
gold cup,2007,Guatemala,B
gold cup,2007,Trinidad and Tobago,B
gold cup,2007,United States,B
gold cup,2007,Cuba,C
gold cup,2007,Honduras,C
gold cup,2007,Mexico,C
gold cup,2007,Panama,C
african cup of nations,2008,Ghana,A
african cup of nations,2008,Guinea,A
african cup of nations,2008,Morocco,A
african cup of nations,2008,Namibia,A
african cup of nations,2008,Benin,B
african cup of nations,2008,Ivory Coast,B
african cup of nations,2008,Mali,B
african cup of nations,2008,Nigeria,B
african cup of nations,2008,Cameroon,C
african cup of nations,2008,Egypt,C
african cup of nations,2008,Sudan,C
african cup of nations,2008,Zambia,C
african cup of nations,2008,Angola,D
african cup of nations,2008,Senegal,D
african cup of nations,2008,South Africa,D
african cup of nations,2008,Tunisia,D
uefa euro,2008,Czech Republic,A
uefa euro,2008,Portugal,A
uefa euro,2008,Switzerland,A
uefa euro,2008,Turkey,A
uefa euro,2008,Austria,B
uefa euro,2008,Croatia,B
uefa euro,2008,Germany,B
uefa euro,2008,Poland,B
uefa euro,2008,France,C
uefa euro,2008,Italy,C
uefa euro,2008,Netherlands,C
uefa euro,2008,Romania,C
uefa euro,2008,Greece,D
uefa euro,2008,Russia,D
uefa euro,2008,Spain,D
uefa euro,2008,Sweden,D
gold cup,2009,Canada,A
gold cup,2009,Costa Rica,A
gold cup,2009,El Salvador,A
gold cup,2009,Jamaica,A
gold cup,2009,Grenada,B
gold cup,2009,Haiti,B
gold cup,2009,Honduras,B
gold cup,2009,United States,B
gold cup,2009,Guadeloupe,C
gold cup,2009,Mexico,C
gold cup,2009,Nicaragua,C
gold cup,2009,Panama,C
fifa world cup,2010,France,A
fifa world cup,2010,Mexico,A
fifa world cup,2010,South Africa,A
fifa world cup,2010,Uruguay,A
fifa world cup,2010,Argentina,B
fifa world cup,2010,Greece,B
fifa world cup,2010,Nigeria,B
fifa world cup,2010,South Korea,B
fifa world cup,2010,Algeria,C
fifa world cup,2010,England,C
fifa world cup,2010,Slovenia,C
fifa world cup,2010,United States,C
fifa world cup,2010,Australia,D
fifa world cup,2010,Germany,D
fifa world cup,2010,Ghana,D
fifa world cup,2010,Serbia,D
fifa world cup,2010,Italy,E
fifa world cup,2010,New Zealand,E
fifa world cup,2010,Paraguay,E
fifa world cup,2010,Slovakia,E
fifa world cup,2010,Cameroon,F
fifa world cup,2010,Denmark,F
fifa world cup,2010,Japan,F
fifa world cup,2010,Netherlands,F
fifa world cup,2010,Brazil,G
fifa world cup,2010,Ivory Coast,G
fifa world cup,2010,North Korea,G
fifa world cup,2010,Portugal,G
fifa world cup,2010,Chile,H
fifa world cup,2010,Honduras,H
fifa world cup,2010,Spain,H
fifa world cup,2010,Switzerland,H
afc asian cup,2011,China PR,A
afc asian cup,2011,Kuwait,A
