tournament,year,team,stage,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,stage_order,group,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
african cup of nations,2002,DR Congo,Quarter-Finalist,1504.43,12,0.458,-0.833,0.917,1.75,1521.18,3,B,1579.653,1643.44,-75.223,4.0
african cup of nations,2002,Egypt,Quarter-Finalist,1561.94,12,0.542,0.583,1.917,1.333,1522.239,3,C,1568.075,1598.37,-6.135,3.0
african cup of nations,2002,Ghana,Quarter-Finalist,1520.6,12,0.583,0.167,1.333,1.167,1529.724,3,D,1539.45,1599.38,-18.85,3.0
african cup of nations,2002,South Africa,Quarter-Finalist,1599.38,12,0.625,0.5,1.167,0.667,1525.957,3,D,1539.45,1599.38,59.93,1.0
african cup of nations,2002,Algeria,Round of 16,1513.56,12,0.5,0.25,1.5,1.25,1530.818,4,A,1546.838,1622.63,-33.278,4.0
african cup of nations,2002,Burkina Faso,Round of 16,1460.88,12,0.375,-0.25,1.25,1.5,1539.248,4,D,1539.45,1599.38,-78.57,4.0
african cup of nations,2002,Ivory Coast,Round of 16,1602.07,12,0.708,1.333,2.083,0.75,1513.665,4,B,1579.653,1643.44,22.417,2.0
african cup of nations,2002,Liberia,Round of 16,1532.85,12,0.458,-0.5,1.333,1.833,1527.463,4,A,1546.838,1622.63,-13.988,2.0
african cup of nations,2002,Morocco,Round of 16,1576.94,12,0.625,0.583,1.25,0.667,1512.528,4,D,1539.45,1599.38,37.49,2.0
african cup of nations,2002,Togo,Round of 16,1568.67,12,0.667,0.5,1.5,1.0,1510.958,4,B,1579.653,1643.44,-10.983,3.0
african cup of nations,2002,Tunisia,Round of 16,1598.37,12,0.708,1.917,2.833,0.917,1526.562,4,C,1568.075,1598.37,30.295,1.0
african cup of nations,2002,Zambia,Round of 16,1535.05,12,0.583,0.25,1.417,1.167,1516.746,4,C,1568.075,1598.37,-33.025,4.0
fifa world cup,2002,Brazil,Champion,1633.96,12,0.792,1.917,2.583,0.667,1528.285,0,E,1587.308,1633.96,46.653,1.0
fifa world cup,2002,Germany,Runner-up,1583.0,12,0.667,1.75,3.083,1.333,1540.508,1,B,1621.705,1664.04,-38.705,4.0
fifa world cup,2002,South Korea,Semi-Finalist,1578.78,12,0.458,0.167,1.167,1.0,1586.467,2,H,1588.858,1641.48,-10.078,2.0
fifa world cup,2002,Turkey,Semi-Finalist,1529.05,12,0.625,0.917,1.667,0.75,1502.933,2,E,1587.308,1633.96,-58.257,4.0
fifa world cup,2002,England,Quarter-Finalist,1577.82,12,0.625,1.083,2.083,1.0,1573.016,3,C,1636.548,1690.9,-58.727,4.0
fifa world cup,2002,Senegal,Quarter-Finalist,1637.49,12,0.75,0.5,1.25,0.75,1563.973,3,A,1622.97,1663.86,14.52,2.0
fifa world cup,2002,Spain,Quarter-Finalist,1604.51,12,0.75,1.5,2.167,0.667,1527.152,3,D,1580.615,1604.51,23.895,1.0
fifa world cup,2002,United States,Quarter-Finalist,1578.69,12,0.625,1.0,1.833,0.833,1572.66,3,H,1588.858,1641.48,-10.168,3.0
fifa world cup,2002,Belgium,Round of 16,1603.61,12,0.75,0.667,1.417,0.75,1535.097,4,G,1581.95,1603.61,21.66,1.0
fifa world cup,2002,Denmark,Round of 16,1601.9,12,0.75,0.917,1.833,0.917,1559.906,4,A,1622.97,1663.86,-21.07,3.0
fifa world cup,2002,Italy,Round of 16,1630.49,12,0.792,0.917,1.333,0.417,1532.726,4,F,1600.162,1630.49,30.328,1.0
fifa world cup,2002,Japan,Round of 16,1597.11,12,0.625,0.25,1.333,1.083,1583.364,4,G,1581.95,1603.61,15.16,2.0
fifa world cup,2002,Mexico,Round of 16,1611.72,12,0.75,1.167,1.667,0.5,1549.153,4,F,1600.162,1630.49,11.558,2.0
fifa world cup,2002,Paraguay,Round of 16,1536.11,12,0.375,-0.75,1.417,2.167,1537.241,4,D,1580.615,1604.51,-44.505,4.0
fifa world cup,2002,Republic of Ireland,Round of 16,1613.48,12,0.75,1.25,1.917,0.667,1573.586,4,B,1621.705,1664.04,-8.225,3.0
fifa world cup,2002,Sweden,Round of 16,1603.86,12,0.708,1.25,2.0,0.75,1510.315,4,C,1636.548,1690.9,-32.688,3.0
fifa world cup,2002,Argentina,Group Stage,1673.61,12,0.792,1.25,2.167,0.917,1537.034,5,C,1636.548,1690.9,37.062,2.0
fifa world cup,2002,Cameroon,Group Stage,1664.04,12,0.75,0.917,1.5,0.583,1565.77,5,B,1621.705,1664.04,42.335,1.0
fifa world cup,2002,China PR,Group Stage,1586.08,12,0.625,0.583,1.083,0.5,1560.762,5,E,1587.308,1633.96,-1.227,3.0
fifa world cup,2002,Costa Rica,Group Stage,1600.14,12,0.542,0.167,1.083,0.917,1568.822,5,E,1587.308,1633.96,12.833,2.0
fifa world cup,2002,Croatia,Group Stage,1582.23,12,0.708,1.0,1.417,0.417,1520.622,5,F,1600.162,1630.49,-17.932,3.0
fifa world cup,2002,Ecuador,Group Stage,1576.21,12,0.625,0.667,1.167,0.5,1540.032,5,F,1600.162,1630.49,-23.952,4.0
fifa world cup,2002,France,Group Stage,1663.86,12,0.75,1.25,2.083,0.833,1550.684,5,A,1622.97,1663.86,40.89,1.0
fifa world cup,2002,Nigeria,Group Stage,1690.9,12,0.792,0.75,1.25,0.5,1539.999,5,C,1636.548,1690.9,54.353,1.0
fifa world cup,2002,Poland,Group Stage,1556.48,12,0.583,0.25,1.417,1.167,1510.611,5,H,1588.858,1641.48,-32.378,4.0
fifa world cup,2002,Portugal,Group Stage,1641.48,12,0.708,1.75,2.917,1.167,1537.573,5,H,1588.858,1641.48,52.622,1.0
fifa world cup,2002,Russia,Group Stage,1568.62,12,0.542,0.5,1.417,0.917,1514.47,5,G,1581.95,1603.61,-13.33,3.0
fifa world cup,2002,Saudi Arabia,Group Stage,1626.3,12,0.708,0.583,1.5,0.917,1541.152,5,B,1621.705,1664.04,4.595,2.0
fifa world cup,2002,Slovenia,Group Stage,1584.9,12,0.708,0.417,1.333,0.917,1556.363,5,D,1580.615,1604.51,4.285,3.0
fifa world cup,2002,South Africa,Group Stage,1596.94,12,0.583,0.167,0.833,0.667,1530.319,5,D,1580.615,1604.51,16.325,2.0
fifa world cup,2002,Tunisia,Group Stage,1558.46,12,0.458,0.417,1.25,0.833,1557.16,5,G,1581.95,1603.61,-23.49,4.0
fifa world cup,2002,Uruguay,Group Stage,1588.63,12,0.583,0.5,1.5,1.0,1584.543,5,A,1622.97,1663.86,-34.34,4.0
afc asian cup,2004,Japan,Champion,1652.75,12,0.833,1.583,2.25,0.667,1529.778,0,D,1605.112,1669.38,47.638,2.0
afc asian cup,2004,China PR,Runner-up,1591.52,12,0.917,1.583,2.0,0.417,1472.949,1,A,1566.815,1591.52,24.705,1.0
afc asian cup,2004,Bahrain,Semi-Finalist,1584.07,12,0.542,0.5,1.583,1.083,1524.734,2,A,1566.815,1591.52,17.255,2.0
